x	y	TVDss	Layer	Prediction	WellName	perm
689340.706	5072557.328	1350.844	7.0	0.043578904	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1351.844	7.0	0.043578904	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1352.844	7.0	0.043578904	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1353.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1354.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1355.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1356.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1357.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1358.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1359.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1360.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1361.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1362.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1363.844	7.0	0.011453039	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1364.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1365.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.004
689340.706	5072557.328	1366.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.071
689340.706	5072557.328	1367.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.145
689340.706	5072557.328	1368.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.013
689340.706	5072557.328	1369.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1370.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1371.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1372.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1373.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1374.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1375.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.007
689340.706	5072557.328	1376.844	7.0	0.025431296	REZOVACCKE_KRCCEVINE-1	0.056
689340.706	5072557.328	1377.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.001
689340.706	5072557.328	1378.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.003
689340.706	5072557.328	1379.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1380.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.004
689340.706	5072557.328	1381.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.014
689340.706	5072557.328	1382.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.012
689340.706	5072557.328	1383.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.023
689340.706	5072557.328	1384.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.023
689340.706	5072557.328	1385.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.086
689340.706	5072557.328	1386.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.085
689340.706	5072557.328	1387.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.085
689340.706	5072557.328	1388.844	7.0	0.025393302	REZOVACCKE_KRCCEVINE-1	0.123
689340.706	5072557.328	1389.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.092
689340.706	5072557.328	1390.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.145
689340.706	5072557.328	1391.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1392.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.017
689340.706	5072557.328	1393.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.017
689340.706	5072557.328	1394.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1395.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1396.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.046
689340.706	5072557.328	1397.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.032
689340.706	5072557.328	1398.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.203
689340.706	5072557.328	1399.844	7.0	0.076684006	REZOVACCKE_KRCCEVINE-1	0.03
689340.706	5072557.328	1400.844	7.0	0.05604085	REZOVACCKE_KRCCEVINE-1	0.038
689340.706	5072557.328	1401.844	7.0	0.05604085	REZOVACCKE_KRCCEVINE-1	0.003
689340.706	5072557.328	1402.844	7.0	0.05604085	REZOVACCKE_KRCCEVINE-1	0.072
689340.706	5072557.328	1403.844	7.0	0.05604085	REZOVACCKE_KRCCEVINE-1	0.014
689340.706	5072557.328	1404.844	7.0	0.05604085	REZOVACCKE_KRCCEVINE-1	0.099
689340.706	5072557.328	1405.844	7.0	0.05604085	REZOVACCKE_KRCCEVINE-1	0.004
689340.706	5072557.328	1406.844	7.0	0.05604085	REZOVACCKE_KRCCEVINE-1	0.023
689340.706	5072557.328	1407.844	7.0	0.05604085	REZOVACCKE_KRCCEVINE-1	0.149
