x	y	TVDss	Layer	Prediction	WellName	por
689340.706	5072557.328	1390.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.134
689340.706	5072557.328	1391.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.034
689340.706	5072557.328	1392.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.083
689340.706	5072557.328	1393.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.083
689340.706	5072557.328	1394.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.022
689340.706	5072557.328	1395.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.025
689340.706	5072557.328	1396.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.104
689340.706	5072557.328	1397.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.095
689340.706	5072557.328	1398.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.144
689340.706	5072557.328	1399.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.094
689340.706	5072557.328	1400.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.099
689340.706	5072557.328	1401.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.058
689340.706	5072557.328	1402.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.114
689340.706	5072557.328	1403.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.08
689340.706	5072557.328	1404.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.123
689340.706	5072557.328	1405.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.061
689340.706	5072557.328	1406.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.089
689340.706	5072557.328	1407.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.134
689340.706	5072557.328	1408.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.107
689340.706	5072557.328	1409.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.125
689340.706	5072557.328	1410.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.142
689340.706	5072557.328	1411.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.108
689340.706	5072557.328	1412.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.145
689340.706	5072557.328	1413.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.073
689340.706	5072557.328	1414.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.118
689340.706	5072557.328	1415.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.033
689340.706	5072557.328	1416.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.008
689340.706	5072557.328	1417.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.047
689340.706	5072557.328	1418.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.067
689340.706	5072557.328	1419.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.128
689340.706	5072557.328	1420.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.098
689340.706	5072557.328	1421.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.062
689340.706	5072557.328	1422.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.149
689340.706	5072557.328	1423.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.125
689340.706	5072557.328	1424.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.124
689340.706	5072557.328	1425.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.101
689340.706	5072557.328	1426.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.114
689340.706	5072557.328	1427.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.114
689340.706	5072557.328	1428.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.104
689340.706	5072557.328	1429.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.129
689340.706	5072557.328	1430.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.011
689340.706	5072557.328	1431.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.0
