x	y	TVDss	Layer	Prediction	WellName	temp
689340.706	5072557.328	587.844	6.0	44.835854	REZOVACCKE_KRCCEVINE-1	44.316
689340.706	5072557.328	588.844	6.0	44.835854	REZOVACCKE_KRCCEVINE-1	44.356
689340.706	5072557.328	589.844	6.0	44.835854	REZOVACCKE_KRCCEVINE-1	44.397
689340.706	5072557.328	590.844	6.0	44.835854	REZOVACCKE_KRCCEVINE-1	44.437
689340.706	5072557.328	591.844	6.0	44.835854	REZOVACCKE_KRCCEVINE-1	44.477
689340.706	5072557.328	592.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.517
689340.706	5072557.328	593.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.557
689340.706	5072557.328	594.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.597
689340.706	5072557.328	595.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.637
689340.706	5072557.328	596.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.677
689340.706	5072557.328	597.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.717
689340.706	5072557.328	598.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.757
689340.706	5072557.328	599.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.797
689340.706	5072557.328	600.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.837
689340.706	5072557.328	601.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.877
689340.706	5072557.328	602.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.917
689340.706	5072557.328	603.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.957
689340.706	5072557.328	604.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	44.997
689340.706	5072557.328	605.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	45.037
689340.706	5072557.328	606.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	45.077
689340.706	5072557.328	607.844	6.0	44.935448	REZOVACCKE_KRCCEVINE-1	45.117
689340.706	5072557.328	608.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.158
689340.706	5072557.328	609.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.197
689340.706	5072557.328	610.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.238
689340.706	5072557.328	611.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.278
689340.706	5072557.328	612.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.318
689340.706	5072557.328	613.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.358
689340.706	5072557.328	614.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.398
689340.706	5072557.328	615.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.438
689340.706	5072557.328	616.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.478
689340.706	5072557.328	617.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.518
689340.706	5072557.328	618.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.558
689340.706	5072557.328	619.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.598
689340.706	5072557.328	620.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.638
689340.706	5072557.328	621.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.678
689340.706	5072557.328	622.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.718
689340.706	5072557.328	623.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.758
689340.706	5072557.328	624.844	6.0	46.072937	REZOVACCKE_KRCCEVINE-1	45.798
689340.706	5072557.328	625.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	45.838
689340.706	5072557.328	626.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	45.878
689340.706	5072557.328	627.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	45.918
689340.706	5072557.328	628.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	45.959
689340.706	5072557.328	629.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	45.998
689340.706	5072557.328	630.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.039
689340.706	5072557.328	631.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.079
689340.706	5072557.328	632.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.119
689340.706	5072557.328	633.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.159
689340.706	5072557.328	634.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.199
689340.706	5072557.328	635.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.239
689340.706	5072557.328	636.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.279
689340.706	5072557.328	637.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.319
689340.706	5072557.328	638.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.359
689340.706	5072557.328	639.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.399
689340.706	5072557.328	640.844	6.0	46.32423	REZOVACCKE_KRCCEVINE-1	46.439
689340.706	5072557.328	641.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.479
689340.706	5072557.328	642.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.519
689340.706	5072557.328	643.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.559
689340.706	5072557.328	644.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.599
689340.706	5072557.328	645.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.639
689340.706	5072557.328	646.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.679
689340.706	5072557.328	647.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.719
689340.706	5072557.328	648.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.76
689340.706	5072557.328	649.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.8
689340.706	5072557.328	650.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.84
689340.706	5072557.328	651.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.88
689340.706	5072557.328	652.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.92
689340.706	5072557.328	653.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	46.96
689340.706	5072557.328	654.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	47.0
689340.706	5072557.328	655.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	47.04
689340.706	5072557.328	656.844	6.0	46.676796	REZOVACCKE_KRCCEVINE-1	47.08
689340.706	5072557.328	657.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.12
689340.706	5072557.328	658.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.16
689340.706	5072557.328	659.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.2
689340.706	5072557.328	660.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.24
689340.706	5072557.328	661.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.28
689340.706	5072557.328	662.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.32
689340.706	5072557.328	663.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.36
689340.706	5072557.328	664.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.4
689340.706	5072557.328	665.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.44
689340.706	5072557.328	666.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.48
689340.706	5072557.328	667.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.52
689340.706	5072557.328	668.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.56
689340.706	5072557.328	669.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.601
689340.706	5072557.328	670.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.64
689340.706	5072557.328	671.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.681
689340.706	5072557.328	672.844	6.0	47.512962	REZOVACCKE_KRCCEVINE-1	47.721
689340.706	5072557.328	673.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	47.761
689340.706	5072557.328	674.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	47.801
689340.706	5072557.328	675.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	47.841
689340.706	5072557.328	676.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	47.881
689340.706	5072557.328	677.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	47.921
689340.706	5072557.328	678.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	47.961
689340.706	5072557.328	679.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	48.001
689340.706	5072557.328	680.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	48.041
689340.706	5072557.328	681.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	48.081
689340.706	5072557.328	682.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	48.121
689340.706	5072557.328	683.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	48.161
689340.706	5072557.328	684.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	48.201
689340.706	5072557.328	685.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	48.241
689340.706	5072557.328	686.844	6.0	47.9067	REZOVACCKE_KRCCEVINE-1	48.281
689340.706	5072557.328	687.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.321
689340.706	5072557.328	688.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.361
689340.706	5072557.328	689.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.401
689340.706	5072557.328	690.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.442
689340.706	5072557.328	691.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.482
689340.706	5072557.328	692.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.522
689340.706	5072557.328	693.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.562
689340.706	5072557.328	694.844	6.0	49.01262	REZOVACCKE_KRCCEVINE-1	48.602
